암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQwMyQyNjE4MzIjNTEjJDEjJDIjJDgz,한국CFC병리과의원,의원,경기도,용인시 수지구,경기도 용인시 수지구 포은대로 91-5 (상현동),병리과,2013-03-27
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQxMyQ0NjE0ODEjODEjJDEjJDYjJDgz,한국내과의원,의원,경기도,이천시,경기도 이천시 중리천로33번길 4 (창전동),내과,1993-03-16
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ2MiQyNjE0ODEjNDEjJDEjJDgjJDgz,한국보훈복지의료공단보훈의원,의원,경기도,수원시 장안구,"경기도 수원시 장안구 광교산로 97 (하광교동, 국립보훈원)",일반의,2008-02-05
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,한국연합의원,의원,경기도,의정부시,"경기도 의정부시 평화로 243, 2층 (호원동)",일반의,2025-05-29
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQxMyQyNjEwMDIjODEjJDEjJDIjJDgz,한국의원,의원,경기도,용인시 처인구,경기도 용인시 처인구 포곡읍 전대로 81 (2층),일반의,1994-02-04
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ2MiQzNjE0ODEjNjEjJDEjJDgjJDgz,한국정형외과의원,의원,경기도,고양시 덕양구,"경기도 고양시 덕양구 충경로 38, 진일프라자 302,305,306호 (행신동)",정형외과,2000-08-31
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQyIyQ1IyQwMCQ0NjEwMDIjNTEjJDEjJDYjJDgz,한국정형외과의원,의원,경기도,성남시 중원구,"경기도 성남시 중원구 산성대로 588, 2층 (은행동)",정형외과,2010-01-28
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ3MiQzNjEwMDIjNTEjJDEjJDIjJDgz,한국정형외과의원,의원,경기도,광명시,"경기도 광명시 철산로 27, 3층 (철산동, 명동프라자)",정형외과,2001-10-22
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz,한국정형외과의원,의원,경기도,부천시 소사구,"경기도 부천시 소사구 옥길로 111, 드림탑프라자 301, 302호 (옥길동)",정형외과,2017-12-18
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5MiQyNjE4MzIjNjEjJDEjJDAjJDgz,한국한센복지협회경기인천지부부설의원,의원,경기도,수원시 장안구,경기도 수원시 장안구 경수대로 898 (조원동),일반의,1974-03-08
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,한국한센복지협회부설의원,의원,경기도,의왕시,경기도 의왕시 원골로 59 (오전동),일반의,1997-09-08
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,한그루 소아청소년과 의원,의원,경기도,화성시,"경기도 화성시 여울로 21, 1층 (능동)",소아청소년과,2019-06-10
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,한길아산내과의원,의원,경기도,안성시,경기도 안성시 중앙로 408 (동본동),내과,2005-09-05
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDgjJDgz,한길안과의원,의원,경기도,김포시,"경기도 김포시 김포대로 835, 3층 (사우동, 이프라자)",안과,2002-03-18
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4OSQzNjEwMDIjNTEjJDEjJDYjJDgz,한길의원,의원,경기도,양평군,경기도 양평군 옥천면 신복길 80,일반의,2020-08-12
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQyIyQ1IyQwMCQzNjE4MzIjNTEjJDEjJDYjJDgz,한나산부인과의원,의원,경기도,남양주시,"경기도 남양주시 늘을2로 20, 5층 (호평동, 씨에취리베로)",산부인과,1993-08-13
