date,point,value
20200121,102,25
20200122,102,25
20200123,102,49
20200124,102,30
20200125,102,14
20200126,102,48
20200127,102,15
20200128,102,20
20200129,102,44
20200130,102,60
20200131,102,38
20200201,102,72
20200202,102,27
20200203,102,21
20200204,102,31
20200205,102,35
20200206,102,15
20200207,102,29
20200208,102,36
20200209,102,40
20200210,102,102
20200211,102,70
20200212,102,55
20200213,102,29
20200214,102,40
20200215,102,36
20200216,102,39
20200217,102,36
20200218,102,15
20200219,102,23
20200220,102,29
20200221,102,22
20200222,102,78
20200223,102,20
20200224,102,30
20200225,102,30
20200226,102,30
20200227,102,24
20200228,102,17
20200229,102,15
20200301,102,37
20200302,102,40
20200303,102,31
20200304,102,45
20200305,102,18
20200306,102,17
20200307,102,21
20200308,102,39
20200309,102,40
20200310,201,37
20200311,102,39
20200312,102,42
20200313,102,27
20200314,102,41
20200315,201,33
20200316,102,30
20200317,102,50
20200318,102,49
20200319,102,51
20200320,102,36
20200321,102,46
20200322,102,31
20200323,102,45
20200324,102,38
20200325,102,36
20200326,102,30
20200327,102,34
20200328,102,38
20200329,102,27
20200330,102,22
20200331,201,38
20200401,102,41
20200402,102,39
20200403,102,50
20200404,102,62
20200405,102,38
20200406,102,27
20200407,102,38
20200408,102,34
20200409,102,35
20200410,102,22
20200411,102,40
20200412,102,40
20200413,102,40
20200414,102,53
20200415,102,40
20200416,102,32
20200417,102,39
20200418,102,44
20200419,102,40
20200420,102,20
20200421,102,41
20200422,102,112
20200423,102,45
20200424,102,48
20200425,102,50
20200426,102,28
20200427,102,27
20200428,102,37
20200429,102,33
20200430,102,18
20200501,102,17
20200502,102,19
20200503,102,26
20200504,102,28
20200505,102,39
20200506,102,28
20200507,102,28
20200508,102,30
20200509,102,11
20200510,102,44
20200511,102,83
20200512,102,29
20200513,102,51
20200514,102,36
20200515,102,22
20200516,102,10
20200517,201,28
20200518,201,32
20200519,102,16
20200520,102,9
20200521,102,19
20200522,102,21
20200523,201,26
20200524,232,33
20200525,102,17
20200526,102,10
20200527,102,18
20200528,102,13
20200529,102,19
20200530,102,27
20200531,102,23
20200601,102,20
20200602,102,18
20200603,102,17
20200604,102,22
20200605,102,22
20200606,102,25
20200607,102,20
20200608,102,28
20200609,102,42
20200610,102,45
20200611,102,12
20200612,102,21
20200613,102,39
20200614,102,30
20200615,102,30
20200616,102,22
20200617,102,18
20200618,102,18
20200619,102,37
20200620,201,31
20200621,102,19
20200622,102,20
20200623,102,24
20200624,102,17
20200625,102,9
20200626,102,28
20200627,102,16
20200628,201,21
20200629,102,22
20200630,201,8
20200701,102,47
20200702,102,32
20200703,102,38
20200704,102,26
20200705,102,32
20200706,102,13
20200707,102,14
20200708,102,19
20200709,102,27
20200710,102,33
20200711,102,17
20200712,102,20
20200713,102,18
20200714,102,10
20200715,102,13
20200716,102,19
20200717,102,19
20200718,102,18
20200719,102,13
20200720,102,26
20200721,102,25
20200722,102,26
20200723,201,26
20200724,201,10
20200725,102,13
20200726,201,10
20200727,102,10
20200728,102,18
20200729,102,15
20200730,102,14
20200731,102,10
20200801,102,12
20200802,201,12
